team,rank
Air Force,99
Akron,134
Alabama,8
App State,88
Arizona,68
Arizona State,11
Arkansas,43
Arkansas State,100
Army,73
Auburn,32
BYU,36
Ball State,133
Baylor,26
Boise State,34
Boston College,66
Bowling Green,106
Buffalo,97
California,72
Central Michigan,117
Charlotte,130
Cincinnati,52
Clemson,4
Coastal Carolina,93
Colorado,46
Colorado State,82
Delaware,122
Duke,37
East Carolina,98
Eastern Michigan,107
Florida,12
Florida Atlantic,104
Florida International,123
Florida State,41
Fresno State,84
Georgia,5
Georgia Southern,94
Georgia State,119
Georgia Tech,33
Hawai'i,109
Houston,53
Illinois,13
Indiana,23
Iowa,30
Iowa State,19
Jacksonville State,96
James Madison,61
Kansas,39
Kansas State,14
Kennesaw State,132
Kent State,136
Kentucky,57
LSU,9
Liberty,85
Louisiana,87
Louisiana Tech,114
Louisville,27
Marshall,105
Maryland,67
Massachusetts,135
Memphis,56
Miami,10
Miami (OH),86
Michigan,15
Michigan State,62
Middle Tennessee,126
Minnesota,38
Mississippi State,70
Missouri,28
Missouri State,131
NC State,55
Navy,50
Nebraska,35
Nevada,120
New Mexico,121
New Mexico State,129
North Carolina,54
North Texas,80
Northern Illinois,101
Northwestern,77
Notre Dame,6
Ohio,90
Ohio State,3
Oklahoma,24
Oklahoma State,64
Old Dominion,113
Ole Miss,22
Oregon,7
Oregon State,75
Penn State,2
Pittsburgh,44
Purdue,92
Rice,110
Rutgers,63
SMU,17
Sam Houston,102
San Diego State,103
San José State,91
South Alabama,89
South Carolina,16
South Florida,81
Southern Miss,125
Stanford,79
Syracuse,42
TCU,31
Temple,127
Tennessee,20
Texas,1
Texas A&M,18
Texas State,59
Texas Tech,21
Toledo,69
Troy,111
Tulane,45
Tulsa,128
UAB,116
UCF,74
UCLA,49
UConn,76
UL Monroe,
UNLV,124
USC,29
UTEP,118
UTSA,71
Utah,25
Utah State,108
Vanderbilt,47
Virginia,60
Virginia Tech,48
Wake Forest,78
Washington,40
Washington State,83
West Virginia,65
Western Kentucky,95
Western Michigan,115
Wisconsin,51
Wyoming,112
